date,Time,Count15,Count30,Count60,weekday,zone,timestamp,sequence,tag,lane,speed(kph),average_speed(kph),direction,class_number,class_name,axle_count,wheelbase(m),length(m),presence,width(m),distance(m),min_distance(m),max_distance(m),VC15,VC30,VC60
2/8/2014,10:03:20 AM,10:03:20,10:03:20,10:03:20,Saturday,,1391853800,,,Lane 1,119.6,119.5,>,1,Short Vehicle,2,2.866,,,0,30.2,26.2,34.2,185,330,707
2/8/2014,10:03:43 AM,10:18:20,10:33:20,11:03:20,Saturday,,1391853823,,,Lane 2,110.2,109.1,>,1,Short Vehicle,2,2.687,,,14,60.9,53.9,67.9,145,377,806
2/8/2014,10:03:45 AM,10:33:20,11:03:20,12:03:20,Saturday,,1391853825,,,Lane 1,107,106.7,>,1,Short Vehicle,2,3.011,,,12.9,34.4,27.7,41.1,189,410,1058
2/8/2014,10:04:05 AM,10:48:20,11:33:20,13:03:20,Saturday,,1391853845,,,Lane 1,93.4,93.3,>,1,Short Vehicle,2,3.113,,,15.2,30.1,22.4,37.8,188,396,1102
2/8/2014,10:04:13 AM,11:03:20,12:03:20,14:03:20,Saturday,,1391853853,,,Lane 2,131.6,130.1,>,1,Short Vehicle,2,3.125,,,14.9,63.8,56.3,71.3,201,0,1026
2/8/2014,10:04:18 AM,11:18:20,12:33:20,15:03:20,Saturday,,1391853858,,,Lane 1,91.8,91.4,>,1,Short Vehicle,2,2.788,,,13.6,31,23.9,38.1,209,0,958
2/8/2014,10:04:29 AM,11:33:20,13:03:20,16:03:20,Saturday,,1391853869,,,Lane 1,88.3,88.3,>,1,Short Vehicle,2,3.189,,,13.6,30.5,23.5,37.5,190,0,910
2/8/2014,10:04:35 AM,11:48:20,13:33:20,17:03:20,Saturday,,1391853875,,,Lane 2,117.3,116.3,>,1,Short Vehicle,2,3.129,,,14.3,60.4,53.1,67.7,206,0,1060
2/8/2014,10:04:38 AM,12:03:20,14:03:20,18:03:20,Saturday,,1391853878,,,Lane 2,131.1,129.7,>,1,Short Vehicle,2,2.919,,,14.3,58.3,51.2,65.5,249,0,1082
2/8/2014,10:04:42 AM,12:18:20,14:33:20,19:03:20,Saturday,,1391853882,,,Lane 1,93.5,93.2,>,3,Two Axle Truck or Bus,2,3.933,,,12.6,27.9,20.9,34.9,218,0,750
2/8/2014,10:04:47 AM,12:33:20,15:03:20,20:03:20,Saturday,,1391853887,,,Lane 2,97.5,97.5,>,1,Short Vehicle,2,3.084,,,15.2,56.9,49.3,64.6,302,0,369
2/8/2014,10:04:59 AM,12:48:20,15:33:20,21:03:20,Saturday,,1391853899,,,Lane 1,84.5,84.5,>,3,Two Axle Truck or Bus,2,3.373,,,14.7,28.8,20.9,36.7,289,0,135
2/8/2014,10:05:05 AM,13:03:20,16:03:20,22:03:20,Saturday,,1391853905,,,Lane 1,82.1,82,>,3,Two Axle Truck or Bus,2,3.362,,,14.3,37.1,29.6,44.5,248,0,132
2/8/2014,10:06:09 AM,13:18:20,16:33:20,23:03:20,Saturday,,1391853969,,,Lane 2,130.2,130.2,>,1,Short Vehicle,2,2.652,,,12.8,60,53.3,66.6,279,0,0
2/8/2014,10:06:14 AM,13:33:20,17:03:20,0:03:20,Saturday,,1391853974,,,Lane 1,77.2,77.7,>,8,Five Axle Articulated,5,12.253,,,20.3,28.3,17.8,38.9,301,0,35
2/8/2014,10:06:42 AM,13:48:20,17:33:20,1:03:20,Saturday,,1391854002,,,Lane 1,124.5,124.3,>,1,Short Vehicle,2,2.857,,,15.4,40.8,33,48.6,274,0,145
2/8/2014,10:07:10 AM,14:03:20,18:03:20,2:03:20,Saturday,,1391854030,,,Lane 2,102.9,102.6,>,1,Short Vehicle,2,2.906,,,13.2,61.8,55.1,68.5,304,0,278
2/8/2014,10:07:20 AM,14:18:20,18:33:20,3:03:20,Saturday,,1391854040,,,Lane 1,72,72,>,3,Two Axle Truck or Bus,2,3.365,,,13.9,29.6,22.2,37.1,238,0,383
2/8/2014,10:07:53 AM,14:33:20,19:03:20,4:03:20,Saturday,,1391854073,,,Lane 2,118.4,118.1,>,1,Short Vehicle,2,3.093,,,13.3,63.5,56.4,70.6,225,0,219
2/8/2014,10:08:16 AM,14:48:20,19:33:20,5:03:20,Saturday,,1391854096,,,Lane 1,104.1,103.7,>,1,Short Vehicle,2,3.092,,,13.7,33.2,26.2,40.1,259,0,177
2/8/2014,10:09:14 AM,15:03:20,20:03:20,6:03:20,Saturday,,1391854154,,,Lane 1,73.9,74,>,3,Two Axle Truck or Bus,2,3.37,,,14.5,32.9,25.3,40.4,214,0,181
2/8/2014,10:09:19 AM,15:18:20,20:33:20,7:03:20,Saturday,,1391854159,,,Lane 1,74,74.1,>,3,Two Axle Truck or Bus,2,3.358,,,14.3,30.9,23.3,38.5,270,0,204
2/8/2014,10:09:38 AM,15:33:20,21:03:20,8:03:20,Saturday,,1391854178,,,Lane 1,84.3,84.1,>,1,Short Vehicle,2,3.093,,,13.1,34.6,27.9,41.2,247,0,198
2/8/2014,10:10:40 AM,15:48:20,21:33:20,9:03:20,Saturday,,1391854240,,,Lane 2,130,129.7,>,1,Short Vehicle,2,2.925,,,25.1,75.2,56.4,93.9,227,0,172
2/8/2014,10:11:01 AM,16:03:20,22:03:20,10:03:20,Saturday,,1391854261,,,Lane 2,114.9,114.7,>,3,Two Axle Truck or Bus,2,3.306,,,14.6,57.5,49.6,65.4,206,0,683
2/8/2014,10:11:40 AM,16:18:20,22:33:20,11:03:20,Saturday,,1391854300,,,Lane 1,97.2,97,>,1,Short Vehicle,2,2.588,,,13,34,27.3,40.7,223,0,806
2/8/2014,10:11:48 AM,16:33:20,23:03:20,12:03:20,Saturday,,1391854308,,,Lane 2,98.1,98,>,1,Short Vehicle,2,2.849,,,14.6,47,39.6,54.4,241,0,1058
2/8/2014,10:12:18 AM,16:48:20,23:33:20,13:03:20,Saturday,,1391854338,,,Lane 1,106.9,106.7,>,1,Short Vehicle,2,2.785,,,12,40.6,34.2,47.1,240,0,1102
2/8/2014,10:12:22 AM,17:03:20,0:03:20,14:03:20,Saturday,,1391854342,,,Lane 1,107.2,106.7,>,1,Short Vehicle,2,2.613,,,13.5,43.9,37.1,50.8,255,0,1026
2/8/2014,10:14:10 AM,17:18:20,0:33:20,15:03:20,Saturday,,1391854450,,,Lane 2,92.9,93.1,>,1,Short Vehicle,2,2.533,,,13.8,56.8,49.7,64,232,0,958
2/8/2014,10:14:17 AM,17:33:20,1:03:20,16:03:20,Saturday,,1391854457,,,Lane 1,97.7,97.6,>,1,Short Vehicle,2,2.554,,,13.5,33.2,26.3,40.2,300,0,910
2/8/2014,10:14:32 AM,17:48:20,1:33:20,17:03:20,Saturday,,1391854472,,,Lane 1,81.3,81.4,>,1,Short Vehicle,2,2.848,,,15,27.3,19.7,35,273,0,1060
2/8/2014,10:14:58 AM,18:03:20,2:03:20,18:03:20,Saturday,,1391854498,,,Lane 1,80,80,>,1,Short Vehicle,2,3.081,,,14.2,26.8,19.5,34.1,257,0,1082
2/8/2014,10:14:59 AM,18:18:20,2:33:20,19:03:20,Saturday,,1391854499,,,Lane 2,137.5,137.7,>,1,Short Vehicle,2,3.088,,,15.2,63.6,55.9,71.4,315,0,750
2/8/2014,10:15:05 AM,18:33:20,3:03:20,20:03:20,Saturday,,1391854505,,,Lane 2,115.5,115.2,>,1,Short Vehicle,2,2.949,,,15.1,61.3,53.6,69,224,0,369
2/8/2014,10:15:10 AM,18:48:20,3:33:20,21:03:20,Saturday,,1391854510,,,Lane 1,122.8,122.7,>,1,Short Vehicle,2,2.748,,,12.3,32.9,25.8,40,286,0,135
2/8/2014,10:15:27 AM,19:03:20,4:03:20,22:03:20,Saturday,,1391854527,,,Lane 1,122.6,122.5,>,1,Short Vehicle,2,2.921,,,13.3,31.1,24.3,37.8,229,0,132
2/8/2014,10:15:44 AM,19:18:20,4:33:20,23:03:20,Saturday,,1391854544,,,Lane 1,107.4,107.4,>,1,Short Vehicle,2,2.718,,,13,32.7,26,39.5,179,0,0
2/8/2014,10:16:02 AM,19:33:20,5:03:20,0:03:20,Saturday,,1391854562,,,Lane 2,112.3,112.2,>,1,Short Vehicle,2,3.077,,,14.4,58.8,51.5,66.2,193,0,35
2/8/2014,10:16:48 AM,19:48:20,5:33:20,1:03:20,Saturday,,1391854608,,,Lane 2,112,111.8,>,1,Short Vehicle,2,2.62,,,12.5,61.6,55.3,68,149,0,145
2/8/2014,10:16:52 AM,20:03:20,6:03:20,2:03:20,Saturday,,1391854612,,,Lane 1,76.3,76.1,>,3,Two Axle Truck or Bus,2,3.363,,,12.5,29.9,22.9,36.8,145,0,278
2/8/2014,10:16:57 AM,20:18:20,6:33:20,3:03:20,Saturday,,1391854617,,,Lane 1,76.2,75.9,>,3,Two Axle Truck or Bus,2,3.838,,,15.5,29.3,20.7,37.9,102,0,383
2/8/2014,10:17:00 AM,20:33:20,7:03:20,4:03:20,Saturday,,1391854620,,,Lane 1,78.9,78.7,>,1,Short Vehicle,2,2.596,,,13.5,29.8,22.9,36.8,62,0,219
2/8/2014,10:17:05 AM,20:48:20,7:33:20,5:03:20,Saturday,,1391854625,,,Lane 2,110.5,110.5,>,1,Short Vehicle,2,2.86,,,14.8,50.5,42.9,58.2,60,0,177
2/8/2014,10:17:17 AM,21:03:20,8:03:20,6:03:20,Saturday,,1391854637,,,Lane 2,107.5,107.5,>,1,Short Vehicle,2,2.772,,,12.9,56,49.5,62.5,32,0,181
2/8/2014,10:17:22 AM,21:18:20,8:33:20,7:03:20,Saturday,,1391854642,,,Lane 1,86.4,86.3,>,3,Two Axle Truck or Bus,2,3.361,,,13,31.3,24.3,38.4,34,0,204
2/8/2014,10:18:04 AM,21:33:20,9:03:20,8:03:20,Saturday,,1391854684,,,Lane 2,111.7,111.6,>,1,Short Vehicle,2,2.384,,,12.6,61.1,54.7,67.5,43,0,198
2/8/2014,10:18:06 AM,21:48:20,9:33:20,9:03:20,Saturday,,1391854686,,,Lane 1,72.8,72.7,>,3,Two Axle Truck or Bus,2,4.302,,,14.6,33.1,23.8,42.4,26,0,172
2/8/2014,10:18:20 AM,22:03:20,10:03:20,10:03:20,Saturday,,1391854700,,,Lane 1,109.3,109.2,>,1,Short Vehicle,2,2.632,,,13.3,35.5,28.7,42.3,36,0,659
2/8/2014,10:19:12 AM,22:18:20,10:33:20,11:03:20,Saturday,,1391854752,,,Lane 1,92.7,92.8,>,2,Short Towing,4,8.571,,,18.6,29.3,17.8,40.8,37,0,806
2/8/2014,10:19:46 AM,22:33:20,11:03:20,12:03:20,Saturday,,1391854786,,,Lane 2,124.8,124.7,>,1,Short Vehicle,2,2.851,,,13.8,61.2,53.6,68.8,32,0,1058
2/8/2014,10:20:11 AM,22:48:20,11:33:20,13:03:20,Saturday,,1391854811,,,Lane 1,31.1,31.3,>,1,Short Vehicle,2,2.716,,,14.2,26.7,19.3,34,27,0,1102
2/8/2014,10:21:47 AM,23:03:20,12:03:20,14:03:20,Saturday,,1391854907,,,Lane 2,89.2,89.2,>,1,Short Vehicle,2,2.697,,,13.7,60.2,53.2,67.2,17,0,1026
2/8/2014,10:22:07 AM,23:18:20,12:33:20,15:03:20,Saturday,,1391854927,,,Lane 1,104.5,104.4,>,1,Short Vehicle,2,3.098,,,14.3,31.4,24.2,38.7,29,0,958
2/8/2014,10:22:12 AM,23:33:20,13:03:20,16:03:20,Saturday,,1391854932,,,Lane 1,87.8,87.6,>,3,Two Axle Truck or Bus,2,3.36,,,15.3,27.6,19.6,35.6,12,0,910
2/8/2014,10:22:17 AM,23:48:20,13:33:20,17:03:20,Saturday,,1391854937,,,Lane 2,119.9,119.7,>,3,Two Axle Truck or Bus,2,3.899,,,15.4,58.2,50.5,66,13,0,1060
2/8/2014,10:22:18 AM,0:03:20,14:03:20,18:03:20,Saturday,,1391854938,,,Lane 1,97.3,97.1,>,1,Short Vehicle,2,2.461,,,13.1,27.8,21.1,34.6,0,0,1082
2/8/2014,10:23:18 AM,0:18:20,14:33:20,19:03:20,Saturday,,1391854998,,,Lane 2,115.9,115.9,>,1,Short Vehicle,2,3.081,,,13.8,58.9,51.9,65.9,0,0,750
2/8/2014,10:23:40 AM,0:33:20,15:03:20,20:03:20,Saturday,,1391855020,,,Lane 1,87.9,87.8,>,1,Short Vehicle,2,2.976,,,12.8,30.9,24.4,37.4,0,0,369
2/8/2014,10:23:42 AM,0:48:20,15:33:20,21:03:20,Saturday,,1391855022,,,Lane 2,106,106.1,>,1,Short Vehicle,2,2.852,,,14.8,46.3,38.9,53.8,0,0,135
2/8/2014,10:23:55 AM,1:03:20,16:03:20,22:03:20,Saturday,,1391855035,,,Lane 1,122.4,122.3,>,1,Short Vehicle,2,2.92,,,14.6,29.4,22.1,36.7,0,0,132
2/8/2014,10:24:03 AM,1:18:20,16:33:20,23:03:20,Saturday,,1391855043,,,Lane 2,124.9,124.9,>,1,Short Vehicle,2,2.82,,,13.4,64.2,57.2,71.2,0,0,0
2/8/2014,10:24:06 AM,1:33:20,17:03:20,0:03:20,Saturday,,1391855046,,,Lane 1,78.5,78.7,>,3,Two Axle Truck or Bus,2,3.354,,,13.3,30.8,23.3,38.2,0,0,35
2/8/2014,10:24:12 AM,1:48:20,17:33:20,1:03:20,Saturday,,1391855052,,,Lane 1,106.6,106.5,>,1,Short Vehicle,2,2.8,,,14.4,32.4,25,39.8,0,0,145
2/8/2014,10:24:35 AM,2:03:20,18:03:20,2:03:20,Saturday,,1391855075,,,Lane 2,108,108.1,>,3,Two Axle Truck or Bus,2,3.655,,,13,55.5,48.7,62.3,0,0,278
2/8/2014,10:26:13 AM,2:18:20,18:33:20,3:03:20,Saturday,,1391855173,,,Lane 1,90.7,90.5,>,1,Short Vehicle,2,2.541,,,12.9,31.1,24.3,37.8,0,0,383
2/8/2014,10:26:29 AM,2:33:20,19:03:20,4:03:20,Saturday,,1391855189,,,Lane 1,85.1,84.9,>,1,Short Vehicle,2,2.596,,,13.3,31.2,24.4,37.9,0,0,219
2/8/2014,10:26:42 AM,2:48:20,19:33:20,5:03:20,Saturday,,1391855202,,,Lane 1,73.1,73.1,>,3,Two Axle Truck or Bus,2,3.369,,,14.8,29.7,22.2,37.3,0,0,177
2/8/2014,10:27:45 AM,3:03:20,20:03:20,6:03:20,Saturday,,1391855265,,,Lane 1,87.7,87.5,>,1,Short Vehicle,2,3.099,,,13.7,29.7,22.8,36.6,0,0,181
2/8/2014,10:28:01 AM,3:18:20,20:33:20,7:03:20,Saturday,,1391855281,,,Lane 1,120.4,120,>,1,Short Vehicle,2,2.595,,,13.5,28.9,22,35.8,0,0,204
2/8/2014,10:28:16 AM,3:33:20,21:03:20,8:03:20,Saturday,,1391855296,,,Lane 2,128.1,128.3,>,1,Short Vehicle,2,2.857,,,8.6,61.3,54.6,68.1,0,0,198
2/8/2014,10:28:19 AM,3:48:20,21:33:20,9:03:20,Saturday,,1391855299,,,Lane 2,110.1,109.9,>,1,Short Vehicle,2,2.809,,,12.6,45.7,38.5,53,0,0,172
2/8/2014,10:28:24 AM,4:03:20,22:03:20,10:03:20,Saturday,,1391855304,,,Lane 2,101,101,>,1,Short Vehicle,2,2.997,,,13.4,61.9,55.1,68.8,0,0,635
2/8/2014,10:28:24 AM,4:18:20,22:33:20,11:03:20,Saturday,,1391855304,,,Lane 1,81.9,81.7,>,1,Short Vehicle,2,2.568,,,13.1,25.6,18.8,32.4,0,0,806
2/8/2014,10:28:33 AM,4:33:20,23:03:20,12:03:20,Saturday,,1391855313,,,Lane 1,85.7,85.5,>,3,Two Axle Truck or Bus,2,3.369,,,12.5,27.9,20.8,35.1,0,0,1058
2/8/2014,10:28:38 AM,4:48:20,23:33:20,13:03:20,Saturday,,1391855318,,,Lane 1,81.6,81.5,>,1,Short Vehicle,2,2.975,,,12.7,28.5,21.9,35.1,0,0,1102
2/8/2014,10:29:12 AM,5:03:20,0:03:20,14:03:20,Saturday,,1391855352,,,Lane 2,132.1,132.1,>,1,Short Vehicle,2,2.848,,,14.7,62.2,54.7,69.7,0,0,1026
2/8/2014,10:30:02 AM,5:18:20,0:33:20,15:03:20,Saturday,,1391855402,,,Lane 2,109.3,109.1,>,1,Short Vehicle,2,3.099,,,13.1,64.1,57.1,71.1,0,0,958
2/8/2014,10:31:04 AM,5:33:20,1:03:20,16:03:20,Saturday,,1391855464,,,Lane 1,103.9,103.9,>,1,Short Vehicle,2,2.425,,,13.2,29,22.2,35.7,0,0,910
2/8/2014,10:31:58 AM,5:48:20,1:33:20,17:03:20,Saturday,,1391855518,,,Lane 2,104.7,104.8,>,1,Short Vehicle,2,3.182,,,14.1,62.6,55.3,69.9,0,0,1060
2/8/2014,10:32:18 AM,6:03:20,2:03:20,18:03:20,Saturday,,1391855538,,,Lane 2,138.2,138.3,>,1,Short Vehicle,2,2.979,,,13.7,53.2,46.2,60.2,0,0,1082
2/8/2014,10:33:38 AM,6:18:20,2:33:20,19:03:20,Saturday,,1391855618,,,Lane 1,84.5,84.5,>,1,Short Vehicle,2,2.976,,,10.7,31,24.9,37,0,0,750
2/8/2014,10:34:24 AM,6:33:20,3:03:20,20:03:20,Saturday,,1391855664,,,Lane 1,93,92.9,>,1,Short Vehicle,2,2.669,,,13.1,33.1,26.4,39.7,0,0,369
2/8/2014,10:34:34 AM,6:48:20,3:33:20,21:03:20,Saturday,,1391855674,,,Lane 1,112.7,112.6,>,1,Short Vehicle,2,2.716,,,13.6,42.5,35.5,49.5,0,0,135
2/8/2014,10:35:59 AM,7:03:20,4:03:20,22:03:20,Saturday,,1391855759,,,Lane 2,157.3,157.5,>,1,Short Vehicle,2,2.85,,,15.3,60.4,52.7,68.2,0,0,132
2/8/2014,10:36:03 AM,7:18:20,4:33:20,23:03:20,Saturday,,1391855763,,,Lane 1,135.1,135,>,1,Short Vehicle,2,2.746,,,15.2,40.1,32.2,47.9,0,0,0
2/8/2014,10:36:09 AM,7:33:20,5:03:20,0:03:20,Saturday,,1391855769,,,Lane 1,126.5,126.6,>,1,Short Vehicle,2,3.084,,,14.5,39.6,31.8,47.5,0,0,35
2/8/2014,10:36:27 AM,7:48:20,5:33:20,1:03:20,Saturday,,1391855787,,,Lane 2,134.9,134.9,>,1,Short Vehicle,2,2.849,,,14.9,65.6,58,73.2,0,0,145
2/8/2014,10:36:31 AM,8:03:20,6:03:20,2:03:20,Saturday,,1391855791,,,Lane 1,69.7,69.6,>,3,Two Axle Truck or Bus,2,3.369,,,15.5,30.1,22.2,38,0,0,278
2/8/2014,10:37:01 AM,8:18:20,6:33:20,3:03:20,Saturday,,1391855821,,,Lane 1,129.8,129.6,>,1,Short Vehicle,2,2.754,,,12.8,33,26.5,39.6,0,0,383
2/8/2014,10:37:01 AM,8:33:20,7:03:20,4:03:20,Saturday,,1391855821,,,Lane 2,157.7,157.7,>,1,Short Vehicle,2,3.08,,,15.1,62.9,55.3,70.5,0,0,219
2/8/2014,10:37:06 AM,8:48:20,7:33:20,5:03:20,Saturday,,1391855826,,,Lane 2,103.6,103.6,>,1,Short Vehicle,2,2.605,,,12.6,54.6,47.9,61.4,0,0,177
2/8/2014,10:37:21 AM,9:03:20,8:03:20,6:03:20,Saturday,,1391855841,,,Lane 2,143,142.7,>,1,Short Vehicle,2,3.081,,,14,58.2,51,65.3,0,0,181
2/8/2014,10:37:48 AM,9:18:20,8:33:20,7:03:20,Saturday,,1391855868,,,Lane 2,127.9,128,>,1,Short Vehicle,2,2.85,,,15,59.2,51.7,66.8,0,0,204
2/8/2014,10:38:04 AM,9:33:20,9:03:20,8:03:20,Saturday,,1391855884,,,Lane 2,126.5,126.6,>,1,Short Vehicle,2,2.844,,,15,59.3,51.7,66.9,0,0,198
2/8/2014,10:38:06 AM,9:48:20,9:33:20,9:03:20,Saturday,,1391855886,,,Lane 2,121.7,121.7,>,3,Two Axle Truck or Bus,2,3.648,,,13,66.6,59.4,73.8,0,0,172
2/8/2014,10:38:07 AM,10:03:20,10:03:20,10:03:20,Saturday,,1391855887,,,Lane 1,86.5,86.3,>,1,Short Vehicle,2,2.843,,,12.2,36.5,30.4,42.6,0,0,611
2/8/2014,10:38:42 AM,10:18:20,10:33:20,11:03:20,Saturday,,1391855922,,,Lane 1,85.8,85.7,>,3,Two Axle Truck or Bus,2,4.887,,,17.1,29.5,20.6,38.5,0,0,806
2/8/2014,10:39:00 AM,10:33:20,11:03:20,12:03:20,Saturday,,1391855940,,,Lane 2,159.7,159.8,>,1,Short Vehicle,2,2.859,,,13.3,62.3,55.3,69.3,0,0,1058
2/8/2014,10:39:04 AM,10:48:20,11:33:20,13:03:20,Saturday,,1391855944,,,Lane 1,114.8,114.7,>,1,Short Vehicle,2,2.855,,,14.1,30.9,23.5,38.2,0,0,1102
2/8/2014,10:39:29 AM,11:03:20,12:03:20,14:03:20,Saturday,,1391855969,,,Lane 1,83.2,83.2,>,3,Two Axle Truck or Bus,2,3.37,,,15.8,33.3,25.1,41.6,0,0,1026
2/8/2014,10:39:37 AM,11:18:20,12:33:20,15:03:20,Saturday,,1391855977,,,Lane 2,108.8,108.6,>,1,Short Vehicle,2,3.083,,,15.2,59.5,51.8,67.3,0,0,958
2/8/2014,10:40:08 AM,11:33:20,13:03:20,16:03:20,Saturday,,1391856008,,,Lane 1,80.2,80.1,>,4,Three Axle Truck or Bus,3,5.867,,,19.3,30.8,20.2,41.3,0,0,910
2/8/2014,10:40:22 AM,11:48:20,13:33:20,17:03:20,Saturday,,1391856022,,,Lane 1,87.5,87.2,>,4,Three Axle Truck or Bus,3,5.56,,,19,26.6,16.5,36.6,0,0,1060
2/8/2014,10:40:25 AM,12:03:20,14:03:20,18:03:20,Saturday,,1391856025,,,Lane 2,111,111,>,1,Short Vehicle,2,2.717,,,13.6,64.2,57.3,71.1,0,0,1082
2/8/2014,10:40:33 AM,12:18:20,14:33:20,19:03:20,Saturday,,1391856033,,,Lane 1,96.4,96.4,>,1,Short Vehicle,2,2.641,,,14.3,33.2,26.1,40.4,0,0,750
2/8/2014,10:40:46 AM,12:33:20,15:03:20,20:03:20,Saturday,,1391856046,,,Lane 1,102.7,103.1,>,3,Two Axle Truck or Bus,2,3.361,,,15.8,31.1,22.9,39.4,0,0,369
2/8/2014,10:40:49 AM,12:48:20,15:33:20,21:03:20,Saturday,,1391856049,,,Lane 1,105,105.1,>,1,Short Vehicle,2,3.177,,,11.3,28.9,22.2,35.6,0,0,135
2/8/2014,10:40:57 AM,13:03:20,16:03:20,22:03:20,Saturday,,1391856057,,,Lane 1,69.4,69.3,>,1,Short Vehicle,2,3.096,,,14.4,27.4,20.2,34.7,0,0,132
2/8/2014,10:41:25 AM,13:18:20,16:33:20,23:03:20,Saturday,,1391856085,,,Lane 2,102.2,102.3,>,1,Short Vehicle,2,2.631,,,14,63.2,56.1,70.3,0,0,0
2/8/2014,10:41:27 AM,13:33:20,17:03:20,0:03:20,Saturday,,1391856087,,,Lane 1,119,118.9,>,1,Short Vehicle,2,2.846,,,14.2,37.5,30.2,44.8,0,0,35
